username,CarousellProtection,Rating,JoinedAge,verified,numFollowers,ProductDescription,Reviews,NumofWordsInReviews,NegativeWord count for Review,stemmedReviews,numDoubleNegative,TotalNegativeWords,NumberOfReviews
superdeal.it.sg,,4.9,9m1d,,13,"Product Highlights 12.9"" Multi-Touch Liquid Retina Display 2732 x 2048 Screen Resolution (264 ppi) Apple A12X 64-Bit SoC + M12 Coprocessor 4G LTE. Wi-Fi 5 (802.11ac). BT 5.0 Front 7MP TrueDepth Face ID Camera Rear 12MP Camera USB Type-C Connectivity iOS Warranty type 1Year Warranty Apple International Package : Apple 12.9"" iPad Pro (Late 2018) 18W USB Type-C Power Adapter USB Type-C Charge Cable (3.3' / 1 m)",-,68,3,-,0,3,9
crescendolaptop,,4.8,3y1m,,324,[BRAND NEW] Apple Ipad Pro 2nd Gen Apple International Warranty: Until Jan 2021 12.9'' Wifi 64GB Silver Self Collection North View Bizhub 6 Yishun Industrial Street 1 #02-19 Singapore 768090 Mon to Fri. 12pm to 7pm Closed on Sat. Sun and PH #laptop #computer #pc #desktop #notebook #refurbished #asus #lenovo #dell # acer #samsung #sff #usff #macbook #hp #apple,Product was having lots of scratches both on the display and the body though it was supposed to be a Grade A resale product. For the price paid wouldn�t recommend anyone.  Cannot enter some apps,94,10,Product was having lots of scratches both on the display and the body though it was supposed to be a Grade A resale product. For the price paid wouldn�t recommend anyone.  Cannot enter some apps,0,10,208
enyiphones.sg,,4.6,1y8m,,1800,APPLE IPAD PRO 12.9' [Wifi+4G Cellular] Used Set 128GB 100% ORIGINAL/Can use the sim Card 100% ORIGINAL USED.GOOD CONDITION 95% NEW COME WITH ACCESSORIES .CHARGER.CABLE 100% SHIPPING FAST AFTER PAYMENT 100% FREE GIFTS COME WITH PACKAGES LOCAL WARRANTY 3MONTHS FREE GIFTS 1* FREE CASE 1* FREE SCREEN PROTECTOR 1* FREE CHARGER 1*FREE CABLE MISC Colors: Space Grey(Black). Silver(White). Gold 100% Support Apple ID & iCloud ID . iTunes Store & App Store,Item arrived fast. However a little disappointed that it was not full glue as describe Other than phone nothing is good tempered glass doesnt suit. Ear piece sent damaged and the cable also low quality. Better to choose other seller even with higher price After install. my screen not sensitive at all. I wasted my money so you dont have to. Bad quality!!! The tempered glass is only lightly sticked at 4 sides of the screen and can become loose after put on the phone case. Sensitivity become poor. Iris scanning cannot be detected after putting on the tempered glass.  Item came cracked tho its contained in box. No replied from customer service. Poor quality. ******The review has been hidden due to inappropriate content.******,196,30,Item arrived fast. However a little disappointed that it was not full glue as describe Other than phone nothing is good tempered glass doesnt suit. Ear piece sent damaged and the cable also low quality. Better to choose other seller even with higher price After install. my screen not sensitive at all. I wasted my money so you dont have to. Bad quality!!! The tempered glass is only lightly sticked at 4 sides of the screen and can become loose after put on the phone case. Sensitivity become poor. Iris scanning cannot be detected after putting on the tempered glass.  Item came cracked tho its contained in box. No replied from customer service. Poor quality. ******The review has been hidden due to inappropriate content.******,0,30,782
ftw.sg,,4.6,4y1m,,201,READY STOCK IN SG!! SHIP OUT ON THE SAME DAY!! [Made In Japan] 2020 iPad Air 4 Paperlike Screen Protector With Support For Apple Pencil! Key Features: - Paperlike Ultra-Thin Screen Protector - Compatible with Apple Pencil Generation 1 and 2 - Perfect Sensitivity and responsiveness. - Impact. Scratch. Dust Resistant - Case Friendly. Compatible with our Magnetic Smart Cover - Comes Included With Dry and Alcohol Wipe and Dust Sticker - Available in Clear + Anti-Blue Light Screen Protectors - Made In Japan Anti-Glare Coating and Packaging. Unsure which iPad Model you are using? Swipe right to the end to see our iPad Model Guide before making your purchase! [NEW ARRIVAL!] Magnetic Smart Cover With Apple Pencil Holder! Available in 5 Colours!! Key Features: - Magnetic Smart Cover With auto sleep/wake - Apple Pencil Holder & Stand. Supports Apple Pencil Charging - Durable and full protection design. Impact and Scratch Resistant - Over 5 stunning colours available for all ipad models - Made of PU Leather. Multi-Angle View - Foldable Flip Cover - Simple and elegant design. Easy to use. access all function without removing the case.,Received it in 3 working days.Pros: the blue color is much darker than the pictures shown which is surprisingly better looking in real life. And that's all.Cons: Absolute design flaw. How can one expect to cover a $1600+ phone with a sub $4 cover? They don't fit in. Also. it's not matellic.� This is probably the worst screen protector I ever bought online. Despite cleaning off the dust off my phone screen there�s alot of bubbles!!�* will never buy from this buyer again* product took super long to arrive. the seller was unresponsive all the time. when i applied for a refund. he only sent the product over. overall i think it took about 6 weeks to come. don't recommend at all. � I have not receive the item  Very poor delivery speed Very poor service by seller,326,28,Received it in 3 working days.Pros: the blue color is much darker than the pictures shown which is surprisingly better looking in real life. And that's all.Cons: Absolute design flaw. How can one expect to cover a $1600+ phone with a sub $4 cover? They don't fit in. Also. it's not matellic.� This is probably the worst screen protector I ever bought online. Despite cleaning off the dust off my phone screen there�s alot of bubbles!!�* will never buy from this buyer again* product took super long to arrive. the seller was unresponsive all the time. when i applied for a refund. he only sent the product over. overall i think it took about 6 weeks to come. don't recommend at all. � I have not receive the item  Very poor delivery speed Very poor service by seller,0,28,481
hapicstore.sg,,4.9,2y9m,,58,Brand Apple Wireless Communication Technology Wi-Fi Operating System IOS 12 Other camera features Front Color Silver About this item 11-inch edge-to-edge Liquid Retina display with ProMotion. True Tone. and P3 wide color A12Z Bionic chip with Neural Engine 12MP Wide camera. 10MP Ultra Wide camera. and LiDAR Scanner 7MP TrueDepth front camera Face ID for secure authentication and Apple Pay Four speaker audio and five studio-quality microphones 802.11ax Wi-Fi 6 FAQ - Shipped from South Korea - We don't sell any imitation in Shopee. If not genuine. we guarantee 200% full refund. - It takes normally 7-10days to be delivered from your purchasing date. - your order can be tracked in Shopee. If you have any question. do not hesitate to ask via Shopee chat. Thank you,-,127,11,-,0,11,36
hanhadha.sg,,0,29d,,0,iPad Pro 11-inch (1st-generation) WiFi 64GB (Space Gray) What�s In The Box: EXDEMO iPad Pro 11-inch (1st-generation) WiFi (Space Gray) USB-C Charge Cable 18W USB-C Power Adapter Overview: Warranty : Out of warranty Serial number : SDMPXP16WKD6J Condition : Good Remark : Minor scratches,-,44,6,-,0,6,0
ha6l935daxxxgmb3tu65fhxdpv_z,,0,7d,,0,Brand new in Box set Non scratch. very good condition Local s�pore set..Comes with new GENUINE accessories Fast to but today Pm via WhatsApp: +65 9779-8426 Pm via Telegram: @Excelsolution1,-,30,3,-,0,3,0
ek986,,0,5m1d,,0,Brand new in Box set Non scratch. very good condition Local s�pore set..Comes with new GENUINE accessories Fast to but today Pm via WhatsApp: +65 9779-8426 Pm via Telegram: @Excelsolution1,-,30,3,-,0,3,0
zdu3d6waqr3zlzgg_ffg4v8_rov9,,0,5d,,0,Brand New Authentic Apple iPad Pro 3rd Gen. 1TB. Wi-Fi + Cellular (Unlocked) 12.9in � Space Gray & Silver . Price : $550 . 1 Free Keyboard Casing & 1 Free Apple Pen . Kindly contact us Via WHATSAPP If INTERESTED +6598308796 Telegram ID : @Lifestylegadget,-,46,4,-,0,4,0
r0donk3rz2rteqkt5atf739dv0os,,0,2d,,1,BRAND NEW SEALED! APPLE IPAD PRO 12.9-INCH (4TH GENERATION) WI-FI + CELLULAR 256GB-SPACE GRAY THIS IPAD IS BRAND NEW FACTORY SEALED. EXACT ITEM PICTURED IS ITEM YOU WILL RECEIVE. BRAND NEW SEALED! No fussy buyers!! Direct watz�app me +65 3159 4109 for more details and to make DEAL!! P/S: !!!! no SHOPEE email or SMS !!,-,56,5,-,0,5,0
